Time	h	uV	uH
'02-Mar-2021 13:53:56'	1.081114889	-0.000398092	-0.881121304
'02-Mar-2021 14:53:59'	-0.827417372	-0.000567428	-1.16245662
'02-Mar-2021 15:54:02'	-2.316023509	-0.000183053	-0.265366779
'02-Mar-2021 16:54:05'	-1.898454172	0.000399592	0.97960541
'02-Mar-2021 17:54:08'	0.119960123	0.000626917	1.379161514
'02-Mar-2021 18:54:11'	1.890504623	0.000270907	0.509184285
'02-Mar-2021 19:54:14'	1.743763937	-0.000347755	-0.863381794
'02-Mar-2021 20:54:16'	-0.225889863	-0.000654318	-1.482158854
'02-Mar-2021 21:54:19'	-2.221269713	-0.000360393	-0.778308886
'02-Mar-2021 22:54:22'	-2.415257503	0.000259747	0.587001339
'02-Mar-2021 23:54:25'	-0.670009619	0.000623198	1.337491
'03-Mar-2021 00:54:28'	1.327945458	0.000388215	0.784129673
'03-Mar-2021 01:54:31'	1.661762767	-0.000219405	-0.520410448
'03-Mar-2021 02:54:34'	0.009616115	-0.000616562	-1.302998825
'03-Mar-2021 03:54:37'	-2.034262653	-0.000415824	-0.782966053
'03-Mar-2021 04:54:40'	-2.465775006	0.000201775	0.571994603
'03-Mar-2021 05:54:42'	-0.789285627	0.000651787	1.47384504
'03-Mar-2021 06:54:45'	1.477589334	0.000498586	1.033008943
'03-Mar-2021 07:54:48'	2.213343883	-0.000126938	-0.384234849
'03-Mar-2021 08:54:51'	0.698134127	-0.000643978	-1.481780872
'03-Mar-2021 09:54:54'	-1.686307605	-0.00056785	-1.247465504
'03-Mar-2021 10:54:57'	-2.742358811	2.97165E-05	0.089749319
'03-Mar-2021 11:55:00'	-1.524960104	0.000584944	1.271052259
'03-Mar-2021 12:55:03'	0.765922337	0.000574372	1.196023507
'03-Mar-2021 13:55:05'	1.924839067	1.22858E-05	-0.034903059
'03-Mar-2021 14:55:08'	0.840633022	-0.000560738	-1.216310295
'03-Mar-2021 15:55:11'	-1.437737058	-0.000590958	-1.187536306
'03-Mar-2021 16:55:14'	-2.692470522	-4.07217E-05	0.053234705
'03-Mar-2021 17:55:17'	-1.654346062	0.000570807	1.334113922
'03-Mar-2021 18:55:20'	0.765991507	0.000658096	1.417064498
'03-Mar-2021 19:55:23'	2.315650666	0.000127264	0.180633147
'03-Mar-2021 20:55:26'	1.525281439	-0.000529744	-1.24917612
'03-Mar-2021 21:55:28'	-0.890962321	-0.000697798	-1.552915001
'03-Mar-2021 22:55:31'	-2.69761421	-0.000221108	-0.462234378
'03-Mar-2021 23:55:34'	-2.24393306	0.000447957	0.986451272
'04-Mar-2021 00:55:37'	-0.019173896	0.000677177	1.433702632
'04-Mar-2021 01:55:40'	1.821298752	0.000254501	0.48472652
'04-Mar-2021 02:55:43'	1.511813869	-0.000410609	-0.920323481
'04-Mar-2021 03:55:46'	-0.639598347	-0.000677156	-1.406925051
'04-Mar-2021 04:55:49'	-2.543471204	-0.000283999	-0.482059145
'04-Mar-2021 05:55:52'	-2.323584512	0.000399199	0.987922877
'04-Mar-2021 06:55:54'	-0.117543044	0.000721555	1.595777256
'04-Mar-2021 07:55:57'	2.033872619	0.000369866	0.732890918
'04-Mar-2021 08:56:00'	2.110647687	-0.000331648	-0.823886102
'04-Mar-2021 09:56:03'	0.026924368	-0.000726639	-1.638850758
'04-Mar-2021 10:56:06'	-2.283638938	-0.000447718	-0.970410643
'04-Mar-2021 11:56:09'	-2.693171734	0.000236432	0.532629091
'04-Mar-2021 12:56:12'	-0.883834955	0.000677414	1.451112772
'04-Mar-2021 13:56:15'	1.369167075	0.000462832	0.941452556
'04-Mar-2021 14:56:17'	1.898956713	-0.000193888	-0.471123699
'04-Mar-2021 15:56:20'	0.211147769	-0.000659265	-1.402983391
'04-Mar-2021 16:56:23'	-2.051455024	-0.000484185	-0.937028278
'04-Mar-2021 17:56:26'	-2.681337353	0.000168341	0.499780379
'04-Mar-2021 18:56:29'	-1.016506528	0.000678279	1.5402421
'04-Mar-2021 19:56:32'	1.419014111	0.000557987	1.176613688
'04-Mar-2021 20:56:35'	2.351801791	-8.4691E-05	-0.279600386
'04-Mar-2021 21:56:38'	0.906987029	-0.000648791	-1.48821601
'04-Mar-2021 22:56:40'	-1.569302665	-0.000609285	-1.343369299
'04-Mar-2021 23:56:43'	-2.786715907	-1.18985E-05	-0.010460513
'05-Mar-2021 00:56:46'	-1.669168681	0.000574375	1.242093257
'05-Mar-2021 01:56:49'	0.650335497	0.000598951	1.249492202
'05-Mar-2021 02:56:52'	1.929954153	4.96515E-05	0.047253256
'05-Mar-2021 03:56:55'	0.956657589	-0.000540984	-1.178364101
'05-Mar-2021 04:56:58'	-1.310715385	-0.000605324	-1.229999213
'05-Mar-2021 05:57:01'	-2.668484342	-7.98903E-05	-0.040940269
'05-Mar-2021 06:57:04'	-1.772636993	0.000536675	1.263271426
'05-Mar-2021 07:57:06'	0.580721509	0.000658526	1.43536306
'05-Mar-2021 08:57:09'	2.207061841	0.000167418	0.288953541
'05-Mar-2021 09:57:12'	1.594932416	-0.000477708	-1.125842715
'05-Mar-2021 10:57:15'	-0.677612543	-0.0006765	-1.513252491
'05-Mar-2021 11:57:18'	-2.502080929	-0.000252528	-0.546138626
'05-Mar-2021 12:57:21'	-2.229597882	0.000386022	0.841622159
'05-Mar-2021 13:57:24'	-0.204175656	0.000637541	1.349882024
'05-Mar-2021 14:57:27'	1.597860362	0.000275367	0.538065561
'05-Mar-2021 15:57:29'	1.458825824	-0.000344182	-0.775956683
'05-Mar-2021 16:57:32'	-0.45995706	-0.000625834	-1.309149253
'05-Mar-2021 17:57:35'	-2.292831462	-0.000300665	-0.536129146
'05-Mar-2021 18:57:38'	-2.254195104	0.000322694	0.816964002
'05-Mar-2021 19:57:41'	-0.332374518	0.000654071	1.465765718
'05-Mar-2021 20:57:44'	1.702903762	0.00038008	0.782885511
'05-Mar-2021 21:57:47'	1.97007701	-0.000243485	-0.614090754
'05-Mar-2021 22:57:50'	0.236140381	-0.000636848	-1.447979312
'05-Mar-2021 23:57:52'	-1.884549438	-0.000442165	-0.978325596
'06-Mar-2021 00:57:55'	-2.45920902	0.000145785	0.319647803
'06-Mar-2021 01:57:58'	-1.037838349	0.000570879	1.22123015
'06-Mar-2021 02:58:01'	0.962194875	0.000441798	0.909405779
'06-Mar-2021 03:58:04'	1.624277152	-0.000104936	-0.271064917
'06-Mar-2021 04:58:07'	0.3428763	-0.000542369	-1.161773876
'06-Mar-2021 05:58:10'	-1.627451275	-0.000454258	-0.896605685
'06-Mar-2021 06:58:13'	-2.379435576	7.5152E-05	0.283236498
'06-Mar-2021 07:58:16'	-1.159269693	0.000545999	1.265157825
'06-Mar-2021 08:58:18'	0.929175051	0.000515785	1.116757007
'06-Mar-2021 09:58:21'	1.966885985	1.25196E-05	-0.041766547
'06-Mar-2021 10:58:24'	1.01205543	-0.000496874	-1.157073381
'06-Mar-2021 11:58:27'	-1.03929309	-0.000546512	-1.228791054
'06-Mar-2021 12:58:30'	-2.311007003	-0.000103432	-0.231390101
'06-Mar-2021 13:58:33'	-1.696873292	0.000410254	0.883704647
'06-Mar-2021 14:58:36'	0.138246301	0.000518157	1.090877889
'06-Mar-2021 15:58:39'	1.421273713	0.000132982	0.242262047
'06-Mar-2021 16:58:41'	0.949208024	-0.000370405	-0.816492512
'06-Mar-2021 17:58:44'	-0.797290748	-0.000513187	-1.058145977
'06-Mar-2021 18:58:47'	-2.131064353	-0.000161268	-0.240975863
'06-Mar-2021 19:58:50'	-1.755372016	0.000354191	0.871928148
'06-Mar-2021 20:58:53'	0.022975045	0.000550818	1.233776178
'06-Mar-2021 21:58:56'	1.586649522	0.000245082	0.491693119
'06-Mar-2021 22:58:59'	1.514154342	-0.000281032	-0.690043208
'06-Mar-2021 23:59:02'	-0.112728343	-0.000546432	-1.25123022
'07-Mar-2021 00:59:04'	-1.805605665	-0.000316939	-0.713111231
'07-Mar-2021 01:59:07'	-2.058057824	0.000183969	0.395534788
'07-Mar-2021 02:59:10'	-0.723701765	0.0004899	1.046406561
'07-Mar-2021 03:59:13'	0.885494238	0.000326007	0.668282382
'07-Mar-2021 04:59:16'	1.246716685	-0.000141433	-0.337999797
'07-Mar-2021 05:59:19'	0.04353486	-0.000467142	-0.992991049
'07-Mar-2021 06:59:22'	-1.559093951	-0.000344051	-0.66118633
'07-Mar-2021 07:59:25'	-2.018296321	0.000113444	0.358504386
'07-Mar-2021 08:59:28'	-0.855902546	0.000479488	1.115849988
'07-Mar-2021 09:59:30'	0.897202617	0.000413207	0.893936146
'07-Mar-2021 10:59:33'	1.654652721	-2.73115E-05	-0.127602275
'07-Mar-2021 11:59:36'	0.733554705	-0.000441406	-1.039635974
'07-Mar-2021 12:59:39'	-1.027780966	-0.000456299	-1.038845698
'07-Mar-2021 13:59:42'	-2.051079889	-6.77268E-05	-0.157351705
'07-Mar-2021 14:59:45'	-1.465486675	0.00036137	0.780869428
'07-Mar-2021 15:59:48'	0.113642797	0.000438648	0.92692655
'07-Mar-2021 16:59:51'	1.17966599	0.000102733	0.184689602
'07-Mar-2021 17:59:53'	0.739669956	-0.000324822	-0.714769407
'07-Mar-2021 18:59:56'	-0.771595307	-0.000440492	-0.902350106
'07-Mar-2021 19:59:59'	-1.906040458	-0.000132811	-0.181751595
'07-Mar-2021 21:00:02'	-1.553555156	0.000315113	0.78669398
'07-Mar-2021 22:00:05'	0.020740965	0.000487455	1.096132452
'07-Mar-2021 23:00:08'	1.409616458	0.00021955	0.432698638
'08-Mar-2021 00:00:11'	1.351615998	-0.000249642	-0.629459796
'08-Mar-2021 01:00:14'	-0.111494672	-0.000496228	-1.149214535
'08-Mar-2021 02:00:16'	-1.671411258	-0.000299853	-0.676697736
'08-Mar-2021 03:00:19'	-1.949646445	0.000155046	0.339353682
'08-Mar-2021 04:00:22'	-0.753965187	0.0004499	0.968346571
'08-Mar-2021 05:00:25'	0.75901616	0.000317504	0.654384165
'08-Mar-2021 06:00:28'	1.162638827	-0.000112349	-0.275952194
'08-Mar-2021 07:00:31'	0.084980011	-0.000433569	-0.922329695
'08-Mar-2021 08:00:34'	-1.444286744	-0.000340317	-0.651380478
'08-Mar-2021 09:00:37'	-1.949453629	8.76073E-05	0.307447224
'08-Mar-2021 10:00:40'	-0.888077725	0.000455203	1.065186757
'08-Mar-2021 11:00:42'	0.823194836	0.000416076	0.893851015
'08-Mar-2021 12:00:45'	1.63357149	-4.83175E-06	-0.091349245
'08-Mar-2021 13:00:48'	0.783931795	-0.000429156	-1.022839319
'08-Mar-2021 14:00:51'	-0.981375666	-0.000470777	-1.069533474
'08-Mar-2021 15:00:54'	-2.084319943	-9.24685E-05	-0.200835475
'08-Mar-2021 16:00:57'	-1.558708476	0.000357057	0.782027596
'08-Mar-2021 17:01:00'	0.06049531	0.000463564	0.983338868
'08-Mar-2021 18:01:03'	1.234095298	0.000131459	0.241697337
'08-Mar-2021 19:01:05'	0.852359178	-0.000324987	-0.719413142
'08-Mar-2021 20:01:08'	-0.721527692	-0.000471955	-0.966365678
'08-Mar-2021 21:01:11'	-1.977890251	-0.00016192	-0.234413906
'08-Mar-2021 22:01:14'	-1.669814226	0.000322875	0.809539131
'08-Mar-2021 23:01:17'	-0.00032732	0.000527828	1.176663581
'09-Mar-2021 00:01:20'	1.530844031	0.000249874	0.481417491
'09-Mar-2021 01:01:23'	1.502222694	-0.000266603	-0.680254533
'09-Mar-2021 02:01:26'	-0.099208357	-0.000549696	-1.264876462
'09-Mar-2021 03:01:28'	-1.839983647	-0.000337011	-0.743983364
'09-Mar-2021 04:01:31'	-2.152305266	0.000176227	0.398817331
'09-Mar-2021 05:01:34'	-0.789024451	0.000513974	1.10918439
'09-Mar-2021 06:01:37'	0.940016229	0.000362091	0.741958175
'09-Mar-2021 07:01:40'	1.389105018	-0.000134848	-0.332536505
'09-Mar-2021 08:01:43'	0.127096211	-0.000504409	-1.071223585
'09-Mar-2021 09:01:46'	-1.63954764	-0.000388568	-0.740866248
'09-Mar-2021 10:01:49'	-2.188740648	0.000114761	0.377517537
'09-Mar-2021 11:01:52'	-0.915229485	0.000535556	1.233835297
'09-Mar-2021 12:01:54'	1.062805732	0.000469588	0.989547696
'09-Mar-2021 13:01:57'	1.91803789	-3.71324E-05	-0.180316312
'09-Mar-2021 14:02:00'	0.821938599	-0.000522178	-1.226514275
'09-Mar-2021 15:02:03'	-1.255006775	-0.000534784	-1.193113552
'09-Mar-2021 16:02:06'	-2.423643824	-6.05389E-05	-0.114497767
'09-Mar-2021 17:02:09'	-1.634397078	0.000459048	1.006292152
'09-Mar-2021 18:02:12'	0.333282863	0.000537383	1.13159737
'09-Mar-2021 19:02:15'	1.596210657	0.000101985	0.165825578
'09-Mar-2021 20:02:17'	0.944330325	-0.000432341	-0.948932299
'09-Mar-2021 21:02:20'	-1.001120288	-0.000551715	-1.120993701
'09-Mar-2021 22:02:23'	-2.357032304	-0.00013137	-0.151455607
'09-Mar-2021 23:02:26'	-1.760448496	0.000438626	1.058304464
'10-Mar-2021 00:02:29'	0.313262609	0.000615712	1.345421409
'10-Mar-2021 01:02:32'	1.959343978	0.000218751	0.39025149
'10-Mar-2021 02:02:35'	1.621283678	-0.000392774	-0.959571273
'10-Mar-2021 03:02:38'	-0.429015073	-0.000650224	-1.467395497
'10-Mar-2021 04:02:40'	-2.318968327	-0.000310981	-0.667100225
'10-Mar-2021 05:02:43'	-2.32020556	0.000308126	0.690525613
'10-Mar-2021 06:02:46'	-0.475816664	0.000625133	1.337285045
'10-Mar-2021 07:02:49'	1.435024121	0.000342185	0.682818425
'10-Mar-2021 08:02:52'	1.579290896	-0.000269339	-0.623916444
'10-Mar-2021 09:02:55'	-0.183068383	-0.000622324	-1.307329995
'10-Mar-2021 10:02:58'	-2.150320051	-0.000371078	-0.681217631
'10-Mar-2021 11:03:01'	-2.388379797	0.000255104	0.684380346
'10-Mar-2021 12:03:04'	-0.584585177	0.000662845	1.48867832
'10-Mar-2021 13:03:06'	1.620253161	0.00045585	0.932300795
'10-Mar-2021 14:03:09'	2.159102723	-0.000184217	-0.509676655
'10-Mar-2021 15:03:12'	0.494755862	-0.000662395	-1.516684589
'10-Mar-2021 16:03:15'	-1.851782306	-0.000530218	-1.160397509
'10-Mar-2021 17:03:18'	-2.718859706	8.79245E-05	0.216517312
'10-Mar-2021 18:03:21'	-1.339457053	0.000608917	1.318931449
'10-Mar-2021 19:03:24'	0.934275574	0.000541787	1.122044088
'10-Mar-2021 20:03:27'	1.914771927	-4.5443E-05	-0.157555006
'10-Mar-2021 21:03:29'	0.662283419	-0.000588147	-1.267953162
'10-Mar-2021 22:03:32'	-1.611818566	-0.000561246	-1.116197194
'10-Mar-2021 23:03:35'	-2.69121738	1.84828E-05	0.181460188
'11-Mar-2021 00:03:38'	-1.47200558	0.000603305	1.396910321
'11-Mar-2021 01:03:41'	0.962027362	0.000632359	1.351923359
'11-Mar-2021 02:03:44'	2.341669153	6.66276E-05	0.045120755
'11-Mar-2021 03:03:47'	1.354958038	-0.00056877	-1.330580891
'11-Mar-2021 04:03:50'	-1.100678837	-0.000678803	-1.505707715
'11-Mar-2021 05:03:52'	-2.753731527	-0.000162245	-0.332044783
'11-Mar-2021 06:03:55'	-2.098944681	0.000491082	1.077041948
'11-Mar-2021 07:03:58'	0.184940595	0.00066412	1.401043728
'11-Mar-2021 08:04:01'	1.888457703	0.000198279	0.362975823
'11-Mar-2021 09:04:04'	1.37835478	-0.000455916	-1.012159492
'11-Mar-2021 10:04:07'	-0.844300089	-0.000667829	-1.378606239
'11-Mar-2021 11:04:10'	-2.620107177	-0.000228357	-0.358533889
'11-Mar-2021 12:04:13'	-2.193134419	0.000448483	1.089545144
'11-Mar-2021 13:04:16'	0.102069576	0.000717343	1.577167895
'11-Mar-2021 14:04:18'	2.137973173	0.000315365	0.608243139
'11-Mar-2021 15:04:21'	2.000908103	-0.000385698	-0.940376447
'11-Mar-2021 16:04:24'	-0.195475773	-0.000729818	-1.640198075
'11-Mar-2021 17:04:27'	-2.413161063	-0.000397521	-0.857380687
'11-Mar-2021 18:04:30'	-2.613388059	0.00029235	0.652761323
'11-Mar-2021 19:04:33'	-0.676138557	0.000686438	1.466276529
'11-Mar-2021 20:04:36'	1.504221972	0.000417149	0.840513915
'11-Mar-2021 21:04:39'	1.832653657	-0.000250103	-0.588700138
'11-Mar-2021 22:04:41'	0.008632136	-0.000671971	-1.422401891
'11-Mar-2021 23:04:44'	-2.193681787	-0.000440865	-0.837736175
'12-Mar-2021 00:04:47'	-2.622814501	0.000226767	0.624229635
'12-Mar-2021 01:04:50'	-0.807119148	0.000696259	1.570813162
'12-Mar-2021 02:04:53'	1.585220909	0.000518006	1.081789558
'12-Mar-2021 03:04:56'	2.319482216	-0.000145495	-0.413537623
